,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
,Commercial,other-commercial
"West Sacramento, CA","Local Government",west-sacramento-ca-local-government
"Westlake Village, CA","Local Government",westlake-village-ca-local-government
"Westchester, NY","Local Government",westchester-ny-local-government
"Westchester, NY","Local Government",westchester-ny-local-government
"Westchester, NY","Local Government",westchester-ny-local-government
"Westchester, NY","Local Government",westchester-ny-local-government
"Waukesha, WI","Local Government",waukesha-wi-local-government
"Washoe, NV","Local Government",washoe-nv-local-government
"Wake, NC","Local Government",wake-nc-local-government
"Volusia, FL","Local Government",volusia-fl-local-government
"Sarpy, NE","Local Government",sarpy-ne-local-government
"Santa Cruz, CA","Local Government",santa-cruz-ca-local-government
"San Jose, CA","Local Government",san-jose-ca-local-government
"San Diego, CA","Local Government",san-diego-ca-local-government
"San Antonio, TX","Local Government",san-antonio-tx-local-government
"Salt Lake City, UT","Local Government",salt-lake-city-ut-local-government
"Saco, ME","Local Government",saco-me-local-government
"Rockland, NY","Local Government",rockland-ny-local-government
"Riverside, CA","Local Government",riverside-ca-local-government
"Portland, OR","Local Government",portland-or-local-government
"Pend Oreille, WA","Local Government",pend-oreille-wa-local-government
"Palmer, AK","Local Government",palmer-ak-local-government
"Orem, UT","Local Government",orem-ut-local-government
"Orange, FL","Local Government",orange-fl-local-government
"Orange, FL","Local Government",orange-fl-local-government
"Omaha, NE","Local Government",omaha-ne-local-government
"Olympia, WA","Local Government",olympia-wa-local-government
"Newport News City, VA","Local Government",newport-news-city-va-local-government
"Napa, CA","Local Government",napa-ca-local-government
"Minneapolis, MN","Local Government",minneapolis-mn-local-government
"Milwaukee, WI","Local Government",milwaukee-wi-local-government
"Mifflin, PA","Local Government",mifflin-pa-local-government
"Manatee, FL","Local Government",manatee-fl-local-government
"Los Angeles, CA","Local Government",los-angeles-ca-local-government
"Los Angeles, CA","Local Government",los-angeles-ca-local-government
"Huntsville, AL","Local Government",huntsville-al-local-government
"Houghton, MI","Local Government",houghton-mi-local-government
"Hillsborough, FL","Local Government",hillsborough-fl-local-government
"Helena, MT","Local Government",helena-mt-local-government
"Gwinnett, GA","Local Government",gwinnett-ga-local-government
"Groton, CT","Local Government",groton-ct-local-government
"Greenwood, SC","Local Government",greenwood-sc-local-government
"Greenwood, SC","Local Government",greenwood-sc-local-government
"Gallatin, MT","Local Government",gallatin-mt-local-government
"Frederick, MD","Local Government",frederick-md-local-government
"Delaware, OH","Local Government",delaware-oh-local-government
"Dayton, OH","Local Government",dayton-oh-local-government
"Cuyahoa, OH","Local Government",cuyahoa-oh-local-government
"Charleston, SC","Local Government",charleston-sc-local-government
"Cattaraugus, NY","Local Government",cattaraugus-ny-local-government
"Broome, NY","Local Government",broome-ny-local-government
"Bozeman, MT","Local Government",bozeman-mt-local-government
"Bloomington, IN","Local Government",bloomington-in-local-government
"Baltimore, MD","Local Government",baltimore-md-local-government
"Arapahoe, CO","Local Government",arapahoe-co-local-government
"Alachua, FL","Local Government",alachua-fl-local-government
"State of Indiana",Non-Profit,state-of-indiana-non-profit
"Redlands, CA",Non-Profit,redlands-ca-non-profit
Other,Non-Profit,other-non-profit
Other,Non-Profit,other-non-profit
Other,Non-Profit,other-non-profit
Other,Non-Profit,other-non-profit
Other,Non-Profit,other-non-profit
Other,Non-Profit,other-non-profit
Other,Non-Profit,other-non-profit
Other,Non-Profit,other-non-profit
"Maricopa, AZ",Non-Profit,maricopa-az-non-profit
"Bel Air, MD",Non-Profit,bel-air-md-non-profit
"Arlington, VA",Non-Profit,arlington-va-non-profit
Other,Ohter,other-ohter
